"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX1,MX2,MX4,MX10,MX11,MX12,MX13,MX14,MX16,MX17,MX18,MX19,MX20,MX25,MX26,MX29,MX37,MX38,MX39,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX50,MX51,MX52,MX58,MX59,MX30,MX36,MX35,MX34,MX33,MX32,MX31,MX23,MX22,MX21,MX5,MX9,MX24,MX7,MX6,MX8,MX3";"MXOnly-1U-NoLED";49;"MX-NoLED";;;
2;"MX15,MX54,MX55,MX61,MX62,MX63,MX64,MX53";"MXOnly-1.25U-NoLED";8;"MX-NoLED";;;
3;"MX28,MX40,MX56,MX57,MX60";"MXOnly-1.5U-NoLED";5;"MX-NoLED";;;
4;"MX41,MX27";"MXOnly-1.75U-NoLED";2;"MX-NoLED";;;
5;"C1,C2,C3,C13,C14,C15";"C_0805_2012Metric";6;"0.1uF";;;
6;"C4";"C_0805_2012Metric";1;"10uF";;;
7;"C5,C6";"C_0805_2012Metric";2;"22pF";;;
8;"C7,C8";"C_0805_2012Metric";2;"1uF";;;
9;"C9";"C_0805_2012Metric";1;"22uF";;;
10;"C10,C11,C12,C16";"C_0805_2012Metric";4;"0.47uF";;;
11;"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25,D26,D14,D28,D29,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D27,D41,D42,D43,D44,D45,D46,D47,D48,D49,D50,D51,D52,D40,D54,D55,D56,D57,D58,D59,D60,D61,D62,D63,D64,D53,D1";"D_SOD-123";64;"SOD123";;;
12;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
13;"L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L17";"RGB-REVERSE_MOUNT";64;"QBLP677R-RGB";;;
14;"R1,R2";"R_0805_2012Metric";2;"5.1k";;;
15;"R3,R9";"R_0805_2012Metric";2;"10k";;;
16;"R5,R7,R6";"R_0805_2012Metric";3;"4.7k";;;
17;"R8,R4";"R_0805_2012Metric";2;"22";;;
18;"R10,R11";"R_0805_2012Metric";2;"100k";;;
19;"R12";"R_0805_2012Metric";1;"20k";;;
20;"SW1";"SKQG-1155865";1;"SW_Push";;;
21;"TP1,TP4,TP7,TP17,TP10,TP18,TP5,TP2,TP8,TP15,TP16,TP9,TP12,TP6,TP13,TP14,TP3,TP11";"TestPoint_Plated_Hole_D2.0mm";18;"TestPoint";;;
22;"U3";"QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm";1;"IS31FL3733-QF";;;
23;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
24;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-MU";;;
25;"U2";"QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm";1;"MCP23017_ML";;;
26;"J1";"USB_C_Receptacle_Palconn_UTC16-G";1;"USB_C_Receptacle_USB2.0";;;
